Dhc	Andrasfai(2)
TUWooWE?sBWEWEKBB?oWE@_WB?sB?u@_X_WE	Circ(21;2.3.10)
TQIURGqEOX?q?q?X?ES?qoBH_EP_ESoBHK?q	Circ(21;2.5.6)
TQIQPGQaQHCQcQQHCaOcQaPHCaPCaSaPHGcQ	Circ(21;2.5.9)
TQGSQGaCSPWaWaKPBCSWaPaGbCObCSPaHCWa	Circ(21;2.6.10)
TQGOOIAoR@EAeAr@KoPeAEWGKoOKoSEWH@eA	Circ(21;2.8.9)
TCrb`o[B_M?[?[?M?B_?[_@r?Bf?Bb_@ow?[	Circ(21;3.4.5)
TCp`_oK@cEWKWKKEB@_WK@_qB@eB@b@_ooWK	Circ(21;3.4.10)
T?bFB_wF?[?w?w?[?FC?woBb_FB_F@oB_[?w	Circ(21;4.5.6)
T?`@?_G`EC[G{G]CF`?{GBoaF`AF`@Bo_O{G	Circ(21;4.9.10)
T??CAA_SDOY_Y_lOJSDY_Ti?jS?jS?Ti?DY_	Circ(21;6.8.10)
T????A?oF?]?}?~?No@}?Fw?No?No?Fw?@}?	Circ(21;8.9.10)
UlSggSD?gA_D?D?A_?g?D??S??g??k??T??Dg??g	Circ(22;1.3)
UhdHGcH@GC_H?H?C_@G?H??c?@K?@I??c_?Hc?@G	Circ(22;1.4)
UhEIHCPAGG_P?P?G_AG?P?@E?AI?AH?@CO?Pa?AG	Circ(22;1.5)
UhCKIC`CGO_`?`?O_CG?`_AD?CH?CG_ACG?``?CG	Circ(22;1.6)
UhCGKD@GG_`@@@?__GK@@OCC_GG_GGOCCC@@__GG	Circ(22;1.7)
UhCGGE@OH?a@A@@?oOIA@GGCOOGOOGGGCAA@_OOG	Circ(22;1.8)
UhCGGC@_I?c@C@a?g_HC@COCG_GG_GCOC@C@_G_G	Circ(22;1.9)
UhCGGC@?K?g@g@S?d?Gg@A_CD?GD?GA_C?g@_D?G	Circ(22;1.10)
UUWooWE?oB?E?E?B??o?E??W??o??s??Z??EW??o	Circ(22;2.3)
UQIQPGQAOH?Q?Q?H?AO?Q?@I?AQ?AP?@IO?QQ?AO	Circ(22;2.5)
UQGSQGaCOP?a?a?P?CO?a_AH?CP?CO_AIG?aP?CO	Circ(22;2.6)
UQGOSHAGO`@A@A?`?GS@AOCG_GO_GOOCIC@AO_GO	Circ(22;2.7)
UQGOOIAOP@AAAA@@OOQAAGGGOOOOOOGGIAAAOOOO	Circ(22;2.8)
UQGOOGA_Q@CACAa@G_PCACOGG_OG_OCOI@CAOG_O	Circ(22;2.9)
UCp`_oK@_E?K?K?E?@_?K??o?@c?@e??p_?KK?@_	Circ(22;3.4)
UCQa`OSA_I?S?S?I?A_?S?@Q?Aa?Ad?@PO?SI?A_	Circ(22;3.5)
UCO_cPCG_a@C@C?a?Gc@COCO_G__GcOCPC@CG_G_	Circ(22;3.7)
UCO__QCO`AACAC@AOOaACGGOOO_OOcGGPAACGOO_	Circ(22;3.8)
UCO__OC_aACCCCaAG_`CCCOOG__G_cCOP@CCGG__	Circ(22;3.9)
UCO__OC?cAGCgCSAD?_gCA_OD?_D?cA_P?gCGD?_	Circ(22;3.10)
U?bB@_WB?K?W?W?K?B??W?@a?BE?BB?@_o?WE?B?	Circ(22;4.5)
U?`DA_gD?S?g?g?S?D??g_A`?DD?DA_A_g?gD?D?	Circ(22;4.6)
U?`@C`GH?c@G@G?c?HC@GOC__HC_HAOC_c@GC_H?	Circ(22;4.7)
U?`@?_G@CCGGgGSCD@?gGA__D@CD@AA___gGCD@?	Circ(22;4.10)
U?AEB?oE?W?o?o?W?E??o_BB?EB?E@_B?W?oB?E?	Circ(22;5.6)
U?AAD@OI?g@O@O?g?IC@OODA_IA_I@OD?S@OA_I?	Circ(22;5.7)
U?AA@AOQ@GAOAO@GOQAAOGHAOQAOQ@GH?QAOAOQ?	Circ(22;5.8)
U?AA@?OaAGCOCOaGGa@COCPAGaAGa@CP?PCOAGa?	Circ(22;5.9)
U??CE@_K?o@_@_?o?KC@_oE@_K@_K?oE?K@_@_K?	Circ(22;6.7)
U??CA?_cAOC_C_aOGc@C_cQ@Gc@Gc?cQ?HC_@Gc?	Circ(22;6.9)
U???C@?gA_D?D?a_GgDD?SS?gg?gg?SS?DD??gg?	Circ(22;7.9)
U???C@?GC_H?h?S_DGCh?Qc?dG?dG?Qc?Ch??dG?	Circ(22;7.10)
U????A?oB?E?E?b?WoBE?KW?Wo?Wo?KW?BE??Wo?	Circ(22;8.9)
U????A?OD?I?i?T?TOAi?Ig?TO?TO?Ig?Ai??TO?	Circ(22;8.10)
U??????_E?K?k?u?L_@k?Eo?L_?L_?Eo?@k??L_?	Circ(22;9.10)
UlUihSTAgI_T?T?I_Ag?T?@U?Ai?Al?@TO?Ti?Ag	Circ(22;1.3.5)
UlSgkTDGga`D@D?a_Gk@DOCS_Gg_GkOCTC@Dg_Gg	Circ(22;1.3.7)
UlSggUDOhAaDAD@AoOiADGGSOOgOOkGGTAADgOOg	Circ(22;1.3.8)
UlSggSD_iAcDCDaAg_hCDCOSG_gG_kCOT@CDgG_g	Circ(22;1.3.9)
UlSggSD?kAgDgDSAd?ggDA_SD?gD?kA_T?gDgD?g	Circ(22;1.3.10)
UlSggSD?gAoDODGAa?gOD@?SA?gA?k@?T?ODgA?g	Circ(22;1.3.11)
UhdLIchDGS_h?h?S_DG?h_Ad?DL?DI_Acg?hd?DG	Circ(22;1.4.6)
UhdHKdHHGc`H@H?c_HK@HOCc_HK_HIOCcc@Hc_HG	Circ(22;1.4.7)
UhdHGcH@KCgHgHSCd@GgHA_cD@KD@IA_c_gHcD@G	Circ(22;1.4.10)
UhdHGcH@GCoHOHGCa@GOH@?cA@KA@I@?c_OHcA@G	Circ(22;1.4.11)
UhEILDPIGg`P@P?g_IK@PODE_II_IHODCS@Pa_IG	Circ(22;1.5.7)
UhEIHEPQHGaPAP@GoQIAPGHEOQIOQHGHCQAPaOQG	Circ(22;1.5.8)
UhEIHCPaIGcPCPaGgaHCPCPEGaIGaHCPCPCPaGaG	Circ(22;1.5.9)
UhEIHCPAGGoPOPGGaAGOP@@EAAIAAH@@COOPaAAG	Circ(22;1.5.11)
UhCKIC`cIOc`C`aOgcHC`cQDGcHGcGcQCHC``GcG	Circ(22;1.6.9)
UhCKIC`CGOo`O`GOaCGO``ADACHACG`ACGO``ACG	Circ(22;1.6.11)
UhCGKD@gI_d@D@a_ggLD@SSCggGggGSSCDD@_ggG	Circ(22;1.7.9)
UhCGKD@GK_h@h@S_dGKh@QcCdGGdGGQcCCh@_dGG	Circ(22;1.7.10)
UhCGKD@GG_p@P@G_aGKP@PCCaGGaGGPCCCP@_aGG	Circ(22;1.7.11)
UhCGGE@OL?i@i@T?tOIi@IgCTOGTOGIgCAi@_TOG	Circ(22;1.8.10)
UhCGGE@OH?q@Q@H?qOIQ@HGCQOGQOGHGCAQ@_QOG	Circ(22;1.8.11)
UhCGGC@_I?s@S@i?i_HS@DOCI_GI_GDOC@S@_I_G	Circ(22;1.9.11)
UUWosXEGob@E@E?b?Gs@EOCW_Go_GsOCZC@EW_Go	Circ(22;2.3.7)
UUWooYEOpBAEAE@BOOqAEGGWOOoOOsGGZAAEWOOo	Circ(22;2.3.8)
UUWooWE_qBCECEaBG_pCECOWG_oG_sCOZ@CEWG_o	Circ(22;2.3.9)
UUWooWE?oBOEOEGBA?oOE@?WA?oA?s@?Z?OEWA?o	Circ(22;2.3.11)
UQIURGqEOX?q?q?X?EO?q_BJ?ER?EP_BIW?qR?EO	Circ(22;2.5.6)
UQIQPIQQPHAQAQ@HOQQAQGHIOQQOQPGHIQAQQOQO	Circ(22;2.5.8)
UQIQPGQaQHCQCQaHGaPCQCPIGaQGaPCPIPCQQGaO	Circ(22;2.5.9)
UQIQPGQAOHOQOQGHAAOOQ@@IAAQAAP@@IOOQQAAO	Circ(22;2.5.11)
UQGSUHaKOp@a@a?p?KS@aoEH_KP_KOoEIK@aP_KO	Circ(22;2.6.7)
UQGSQGacQPCaCaaPGcPCacQHGcPGcOcQIHCaPGcO	Circ(22;2.6.9)
UQGSQGaCOPOaOaGPACOOa`AHACPACO`AIGOaPACO	Circ(22;2.6.11)
UQGOSHAGO`PAPAG`AGSPAPCGaGOaGOPCICPAOaGO	Circ(22;2.7.11)
UQGOOIAoR@EAEAb@WoREAKWGWoOWoOKWIBEAOWoO	Circ(22;2.8.9)
UQGOOIAOP@QAQAH@QOQQAHGGQOOQOOHGIAQAOQOO	Circ(22;2.8.11)
UCrb`o[B_M?[?[?M?B_?[?@q?Be?Bf?@po?[M?B_	Circ(22;3.4.5)
UCp`_oK@cEGKgKSED@_gKA_oD@cD@eA_p_gKKD@_	Circ(22;3.4.10)
UCp`_oK@_EOKOKGEA@_OK@?oA@cA@e@?p_OKKA@_	Circ(22;3.4.11)
UCQadPSI_i@S@S?i?Ic@SODQ_Ia_IdODPS@SI_I_	Circ(22;3.5.7)
UCQa`OSaaICSCSaIGa`CSCPQGaaGadCPPPCSIGa_	Circ(22;3.5.9)
UCQa`OSA_IOSOSGIAA_OS@@QAAaAAd@@POOSIAA_	Circ(22;3.5.11)
UCO_cPCgaaDCDCaaGgdDCSSOgg_ggcSSPDDCGgg_	Circ(22;3.7.9)
UCO_cPCG_aPCPCGaAGcPCPCOaG_aGcPCPCPCGaG_	Circ(22;3.7.11)
UCO__QCobAECECbAWobECKWOWo_WocKWPBECGWo_	Circ(22;3.8.9)
UCO__QCOdAICiCTATOaiCIgOTO_TOcIgPAiCGTO_	Circ(22;3.8.10)
UCO__OC_aASCSCiAI_`SCDOOI__I_cDOP@SCGI__	Circ(22;3.9.11)
UCO__OC?cAWCwC[AF?_wCB_OF?_F?cB_P?wCGF?_	Circ(22;3.10.11)
U?bFB_wF?[?w?w?[?F??w_Bb?FF?FB_B_w?wF?F?	Circ(22;4.5.6)
U?bBD`WJ?k@W@W?k?JC@WODa_JE_JBOD_s@WE_J?	Circ(22;4.5.7)
U?bB@_WB?KOWOWGKAB?OW@@aABEABB@@_oOWEAB?	Circ(22;4.5.11)
U?`DE`gL?s@g@g?s?LC@goE`_LD_LAoE_k@gD_L?	Circ(22;4.6.7)
U?`DA_gD?SOgOgGSAD?Og`A`ADDADA`A_gOgDAD?	Circ(22;4.6.11)
U?`@C`GHCcHGhGScDHChGQc_dHCdHAQc_chGCdH?	Circ(22;4.7.10)
U?`@?_G@CCWGwG[CF@?wGB__F@CF@AB___wGCF@?	Circ(22;4.10.11)
U?AEF@oM?w@o@o?w?MC@ooFB_MB_M@oF?[@oB_M?	Circ(22;5.6.7)
U?AEB?oeAWCoCoaWGe@CocRBGeBGe@cR?XCoBGe?	Circ(22;5.6.9)
U?AAD@OiAgDODOagGiDDOSTAgiAgi@ST?TDOAgi?	Circ(22;5.7.9)
U?AAD@OI?gPOPOGgAICPOPDAaIAaI@PD?SPOAaI?	Circ(22;5.7.11)
U?AA@AOQ@GQOQOHGQQAQOHHAQQAQQ@HH?QQOAQQ?	Circ(22;5.8.11)
U?AA@?OaAGSOSOiGIa@SODPAIaAIa@DP?PSOAIa?	Circ(22;5.9.11)
U??CE@_K?oP_P_GoAKCP_pE@aK@aK?pE?KP_@aK?	Circ(22;6.7.11)
U??CA?_cAOS_S_iOIc@S_dQ@Ic@Ic?dQ?HS_@Ic?	Circ(22;6.9.11)
U???C@?gE_L?l?u_LgDl?Us?lg?lg?Us?Dl??lg?	Circ(22;7.9.10)
U???C@?gA_T?T?i_IgDT?TS?ig?ig?TS?DT??ig?	Circ(22;7.9.11)
U???C@?GC_X?x?[_FGCx?Rc?fG?fG?Rc?Cx??fG?	Circ(22;7.10.11)
U????A?oF?M?m?v?\oBm?Mw?\o?\o?Mw?Bm??\o?	Circ(22;8.9.10)
U????A?oB?U?U?j?YoBU?LW?Yo?Yo?LW?BU??Yo?	Circ(22;8.9.11)
U????A?OD?Y?y?\?VOAy?Jg?VO?VO?Jg?Ay??VO?	Circ(22;8.10.11)
UlUilTTIgi`T@T?i_Ik@TODU_Ii_IlODTS@Ti_Ig	Circ(22;1.3.5.7)
UlUihSTaiIcTCTaIgahCTCPUGaiGalCPTPCTiGag	Circ(22;1.3.5.9)
UlUihSTAgIoTOTGIaAgOT@@UAAiAAl@@TOOTiAAg	Circ(22;1.3.5.11)
UlSgkTDgiadDDDaagglDDSSSgggggkSSTDDDgggg	Circ(22;1.3.7.9)
UlSgkTDGgapDPDGaaGkPDPCSaGgaGkPCTCPDgaGg	Circ(22;1.3.7.11)
UlSggUDOlAiDiDTAtOiiDIgSTOgTOkIgTAiDgTOg	Circ(22;1.3.8.10)
UlSggSD_iAsDSDiAi_hSDDOSI_gI_kDOT@SDgI_g	Circ(22;1.3.9.11)
UhdLIchDGSohOhGSaDGOh`AdADLADI`AcgOhdADG	Circ(22;1.4.6.11)
UhdHKdHHKchHhHScdHKhHQccdHKdHIQccchHcdHG	Circ(22;1.4.7.10)
UhEILDPiIgdPDPaggiLDPSTEgiIgiHSTCTDPagiG	Circ(22;1.5.7.9)
UhEILDPIGgpPPPGgaIKPPPDEaIIaIHPDCSPPaaIG	Circ(22;1.5.7.11)
UhEIHEPQHGqPQPHGqQIQPHHEQQIQQHHHCQQPaQQG	Circ(22;1.5.8.11)
UhEIHCPaIGsPSPiGiaHSPDPEIaIIaHDPCPSPaIaG	Circ(22;1.5.9.11)
UhCKIC`cIOs`S`iOicHS`dQDIcHIcGdQCHS``IcG	Circ(22;1.6.9.11)
UhCGKD@gI_t@T@i_igLT@TSCigGigGTSCDT@_igG	Circ(22;1.7.9.11)
UUWosXEGobPEPEGbAGsPEPCWaGoaGsPCZCPEWaGo	Circ(22;2.3.7.11)
UUWooYEorBEEEEbBWorEEKWWWooWosKWZBEEWWoo	Circ(22;2.3.8.9)
UQIURGqeQXCqCqaXGePCqcRJGeRGePcRIXCqRGeO	Circ(22;2.5.6.9)
UQIQPIQQPHQQQQHHQQQQQHHIQQQQQPHHIQQQQQQO	Circ(22;2.5.8.11)
UQGSUHaKOpPaPaGpAKSPapEHaKPaKOpEIKPaPaKO	Circ(22;2.6.7.11)
UCrb`o[B_MO[O[GMAB_O[@@qABeABf@@poO[MAB_	Circ(22;3.4.5.11)
UCp`_oK@cEWKwK[EF@_wKB_oF@cF@eB_p_wKKF@_	Circ(22;3.4.10.11)
UCQadPSiaiDSDSaiGidDSSTQgiagidSTPTDSIgi_	Circ(22;3.5.7.9)
UCQadPSI_iPSPSGiAIcPSPDQaIaaIdPDPSPSIaI_	Circ(22;3.5.7.11)
UCQa`OSaaISSSSiIIa`SSDPQIaaIadDPPPSSIIa_	Circ(22;3.5.9.11)
UCO_cPCgaaTCTCiaIgdTCTSOig_igcTSPDTCGig_	Circ(22;3.7.9.11)
U?bFF`wN?{@w@w?{?NC@woFb_NF_NBoF_{@wF_N?	Circ(22;4.5.6.7)
U?AAD@OiAgTOTOigIiDTOTTAiiAii@TT?TTOAii?	Circ(22;5.7.9.11)
U???C@?gE_\?|?}_NgD|?Vs?ng?ng?Vs?D|??ng?	Circ(22;7.9.10.11)
U????A?oF?]?}?~?^oB}?Nw?^o?^o?Nw?B}??^o?	Circ(22;8.9.10.11)
VlSggSD?gA_D?D?A_?g?D??S??g??g??U??DO??l??A_	Circ(23;1.3)
VhdHGcH@GC_H?H?C_@G?H??c?@G?@K??d??HG?@K_?C_	Circ(23;1.4)
VhEIHCPAGG_P?P?G_AG?P?@C?AK?AI?@C_?PC?AKO?G_	Circ(23;1.5)
VhCKIC`CGO_`?`?O_CG?`?AE?CI?CH?ACO?`A?CKG?O_	Circ(23;1.6)
VhCGKD@GG_`@@@?__GG@@_CD?GH?GG_CCG@@@?GKC?__	Circ(23;1.7)
VhCGGE@OH?a@A@@?_OKA@OGC_OG_OGOGCCA@?_OKA@?_	Circ(23;1.8)
VhCGGC@_I?c@C@A?o_IC@GOCO_GO_GGOCAC@?O_K@A?_	Circ(23;1.9)
VhCGGC@?K?g@G@c?h?HG@C_CH?GH?GC_C@G@?H?K?c?_	Circ(23;1.10)
VUWooWE?oB?E?E?B??o?E??W??o??o??Y??Eo??r??B?	Circ(23;2.3)
VQIQPGQAOH?Q?Q?H?AO?Q?@G?AS?AQ?@G_?Qc?AQO?H?	Circ(23;2.5)
VQGSQGaCOP?a?a?P?CO?a?AI?CQ?CP?AGO?aa?CQG?P?	Circ(23;2.6)
VQGOSHAGO`@A@A?`?GO@A_CH?GP?GO_CGG@A`?GQC?`?	Circ(23;2.7)
VQGOOIAOP@AAAA@@?OSAAOGG_OO_OOOGGCAA__OQA@@?	Circ(23;2.8)
VQGOOGA_Q@CACAA@O_QCAGOGO_OO_OGOGACA_O_Q@A@?	Circ(23;2.9)
VQGOOGA?S@GAGAc@H?PGAC_GH?OH?OC_G@GA_H?Q?c@?	Circ(23;2.10)
VQGOOGA?O@OAoAW@E?OoAB?GE?OE?OB?G?oA_E?Q?W@?	Circ(23;2.11)
VCp`_oK@_E?K?K?E?@_?K??o?@_?@c??r??KW?@`_?E?	Circ(23;3.4)
VCQa`OSA_I?S?S?I?A_?S?@O?Ac?Aa?@Q_?SS?A`O?I?	Circ(23;3.5)
VCO_cPCG_a@C@C?a?G_@C_CP?G`?G__CQG@CP?G`C?a?	Circ(23;3.7)
VCO__QCO`AACAC@A?OcACOGO_O__O_OGQCACO_O`A@A?	Circ(23;3.8)
VCO__OC_aACCCCAAO_aCCGOOO__O__GOQACCOO_`@AA?	Circ(23;3.9)
VCO__OC?_AOCoCWAE?_oCB?OE?_E?_B?Q?oCOE?`?WA?	Circ(23;3.11)
V?bB@_WB?K?W?W?K?B??W?@_?BC?BE?@`_?WK?B?o?K?	Circ(23;4.5)
V?`DA_gD?S?g?g?S?D??g?Aa?DA?DD?A`O?gI?D?g?S?	Circ(23;4.6)
V?`@C`GH?c@G@G?c?H?@G_C`?H@?HC_C`G@GH?H?c?c?	Circ(23;4.7)
V?`@?_G`ACCGCGACO`ACGGO_O`?O`CGO`ACGGO`?`AC?	Circ(23;4.9)
V?`@?_G@CCGGGGcCH@@GGC__H@?H@CC_`@GGGH@?_cC?	Circ(23;4.10)
V?`@?_G@?COGoGWCE@?oGB?_E@?E@CB?`?oGGE@?_WC?	Circ(23;4.11)
V?AEB?oE?W?o?o?W?E??o?BA?EE?EB?B?o?oE?E?W?W?	Circ(23;5.6)
V?AAD@OI?g@O@O?g?I?@O_D@?ID?IA_D?g@OD?I?S?g?	Circ(23;5.7)
V?AA@AOQ@GAOAO@G?QCAOOH?_QC_QAOH?cAOC_Q?Q@G?	Circ(23;5.8)
V?AA@?OA?GOOoOWGEA?oOB@?EACEAAB@?_oOCEA?OWG?	Circ(23;5.11)
V??CE@_K?o@_@_?o?K?@__EB?KB?K@_E?W@_B?K?K?o?	Circ(23;6.7)
V??CAA_S@OA_A_@O?SCA_OIA_SA_S@OI?SA_A_S?I@O?	Circ(23;6.8)
V??CA?_cAOC_C_AOOcAC_GQAOcAOc@GQ?QC_AOc?HAO?	Circ(23;6.9)
V??CA?_CCOG_G_cOHC@G_CaAHCAHC@Ca?PG_AHC?GcO?	Circ(23;6.10)
V???C@?GC_H?H?c_HG@H?cc@HG@HG?cc?HH?@HG?Cc_?	Circ(23;7.10)
V???C@?G?_P?p?W_EG?p?bC@EG@EG?bC?Gp?@EG?CW_?	Circ(23;7.11)
V????A?oB?E?E?B?OoEE?WW?oo?oo?WW?EE??oo?BB??	Circ(23;8.9)
V????A?OD?I?I?d?HODI?Sg?hO?hO?Sg?DI??hO?Ad??	Circ(23;8.10)
V????A?O@?Q?q?X?EOCq?RG?eO?eO?RG?Cq??eO?AX??	Circ(23;8.11)
V??????_E?K?K?e?X_BK?Ko?X_?X_?Ko?BK??X_?@e??	Circ(23;9.10)
V??????_A?S?s?Y?U_As?JO?U_?U_?JO?As??U_?@Y??	Circ(23;9.11)
VlUihSTAgI_T?T?I_Ag?T?@S?Ak?Ai?@U_?TS?AlO?I_	Circ(23;1.3.5)
VlSgkTDGga`D@D?a_Gg@D_CT?Gh?Gg_CUG@DP?GlC?a_	Circ(23;1.3.7)
VlSggUDOhAaDAD@A_OkADOGS_Og_OgOGUCADO_OlA@A_	Circ(23;1.3.8)
VlSggSD_iAcDCDAAo_iCDGOSO_gO_gGOUACDOO_l@AA_	Circ(23;1.3.9)
VhdLIchDGS_h?h?S_DG?h?Ae?DI?DL?AdO?hI?DKg?S_	Circ(23;1.4.6)
VhdHKdHHGc`H@H?c_HG@H_Cd?HH?HK_CdG@HH?HKc?c_	Circ(23;1.4.7)
VhdHGcH`ICcHCHACo`ICHGOcO`GO`KGOdACHGO`K`AC_	Circ(23;1.4.9)
VhdHGcH@KCgHGHcCh@HGHC_cH@GH@KC_d@GHGH@K_cC_	Circ(23;1.4.10)
VhEILDPIGg`P@P?g_IG@P_DD?IL?II_DCg@PD?IKS?g_	Circ(23;1.5.7)
VhEIHEPQHGaPAP@G_QKAPOHC_QK_QIOHCcAPC_QKQ@G_	Circ(23;1.5.8)
VhCKIE`SHOa`A`@O_SKA`OIE_SI_SHOICSA`A_SKI@O_	Circ(23;1.6.8)
VhCKIC`cIOc`C`AOocIC`GQEOcIOcHGQCQC`AOcKHAO_	Circ(23;1.6.9)
VhCKIC`CKOg`G`cOhCHG`CaEHCIHCHCaCPG`AHCKGcO_	Circ(23;1.6.10)
VhCGKD@GK_h@H@c_hGHH@ccDHGHHGGccCHH@@HGKCc__	Circ(23;1.7.10)
VhCGGE@OL?i@I@d?hOLI@SgChOGhOGSgCDI@?hOKAd?_	Circ(23;1.8.10)
VUWosXEGob@E@E?b?Go@E_CX?Gp?Go_CYG@Ep?GrC?b?	Circ(23;2.3.7)
VUWooYEOpBAEAE@B?OsAEOGW_Oo_OoOGYCAEo_OrA@B?	Circ(23;2.3.8)
VUWooWE_qBCECEABO_qCEGOWO_oO_oGOYACEoO_r@AB?	Circ(23;2.3.9)
VUWooWE?oBOEoEWBE?ooEB?WE?oE?oB?Y?oEoE?r?WB?	Circ(23;2.3.11)
VQIURGqEOX?q?q?X?EO?q?BI?EU?ER?BGo?qe?EQW?X?	Circ(23;2.5.6)
VQIQPIQQPHAQAQ@H?QSAQOHG_QS_QQOHGcAQc_QQQ@H?	Circ(23;2.5.8)
VQIQPGQAOHOQoQWHEAOoQB@GEASEAQB@G_oQcEAQOWH?	Circ(23;2.5.11)
VQGSUHaKOp@a@a?p?KO@a_EJ?KR?KP_EGW@ab?KQK?p?	Circ(23;2.6.7)
VQGSQGacQPCaCaAPOcQCaGQIOcQOcPGQGQCaaOcQHAP?	Circ(23;2.6.9)
VQGSQGaCSPGaGacPHCPGaCaIHCQHCPCaGPGaaHCQGcP?	Circ(23;2.6.10)
VQGOSHAGS`HAHAc`HGPHAccHHGPHGOccGHHA`HGQCc`?	Circ(23;2.7.10)
VQGOSHAGO`PApAW`EGOpAbCHEGPEGObCGGpA`EGQCW`?	Circ(23;2.7.11)
VQGOOIAoR@EAEAB@OoUEAWWGooOooOWWGEEA_ooQBB@?	Circ(23;2.8.9)
VQGOOIAOP@QAqAX@EOSqARGGeOOeOORGGCqA_eOQAX@?	Circ(23;2.8.11)
VQGOOGA_U@KAKAe@X_RKAKoGX_OX_OKoGBKA_X_Q@e@?	Circ(23;2.9.10)
VCrb`o[B_M?[?[?M?B_?[?@o?Bc?Be?@r_?[[?B`o?M?	Circ(23;3.4.5)
VCp`_oK`aECKCKAEO`aCKGOoO`_O`cGOrACKWO```AE?	Circ(23;3.4.9)
VCp`_oK@_EOKoKWEE@_oKB?oE@_E@cB?r?oKWE@`_WE?	Circ(23;3.4.11)
VCQadPSI_i@S@S?i?I_@S_DP?Id?Ia_DQg@ST?I`S?i?	Circ(23;3.5.7)
VCQa`OSA_IOSoSWIEA_oSB@OEAcEAaB@Q_oSSEA`OWI?	Circ(23;3.5.11)
VCO_cPCG_aPCpCWaEG_pCbCPEG`EG_bCQGpCPEG`CWa?	Circ(23;3.7.11)
VCO__QCobAECECBAOoeECWWOoo_oo_WWQEECOoo`BBA?	Circ(23;3.8.9)
V?bFB_wF?[?w?w?[?F??w?Ba?FE?FF?B`o?wM?F?w?[?	Circ(23;4.5.6)
V?bBD`WJ?k@W@W?k?J?@W_D`?JD?JE_D`g@WL?J?s?k?	Circ(23;4.5.7)
V?bB@_WB?KOWoWWKEB?oWB@_EBCEBEB@`_oWKEB?oWK?	Circ(23;4.5.11)
V?`DE`gL?s@g@g?s?L?@g_Eb?LB?LD_E`W@gJ?L?k?s?	Circ(23;4.6.7)
V?`DA_gdASCgCgASOdACgGQaOdAOdDGQ`QCgIOd?hAS?	Circ(23;4.6.9)
V?`@C`GHCcHGHGccHH@HGcc`HH@HHCcc`HHGHHH?ccc?	Circ(23;4.7.10)
V?`@?_G`ACSGsGYCU`AsGJO_U`?U`CJO`AsGGU`?`YC?	Circ(23;4.9.11)
V?`@?_G@CCWGwG{CN@@wGF__N@?N@CF_`@wGGN@?_{C?	Circ(23;4.10.11)
V?AEF@oM?w@o@o?w?M?@o_FB?MF?MB_F?w@oF?M?[?w?	Circ(23;5.6.7)
V?AEBAoU@WAoAo@W?UCAoOJA_UE_UBOJ?sAoE_U?Y@W?	Circ(23;5.6.8)
V?AA@AOQ@GQOqOXGEQCqORH?eQCeQARH?cqOCeQ?QXG?	Circ(23;5.8.11)
V??CAA_SDOI_I_dOHSDI_SiAhSAhS@Si?TI_AhS?IdO?	Circ(23;6.8.10)
V??CA?_cEOK_K_eOXcBK_KqAXcAXc@Kq?RK_AXc?HeO?	Circ(23;6.9.10)
V???C@?GC_X?x?{_NG@x?fc@NG@NG?fc?Hx?@NG?C{_?	Circ(23;7.10.11)
V????A?oF?M?M?f?XoFM?[w?xo?xo?[w?FM??xo?Bf??	Circ(23;8.9.10)
V????A?oB?U?u?Z?UoEu?ZW?uo?uo?ZW?Eu??uo?BZ??	Circ(23;8.9.11)
V????A?OD?Y?y?|?NODy?Vg?nO?nO?Vg?Dy??nO?A|??	Circ(23;8.10.11)
V??????_E?[?{?}?^_B{?No?^_?^_?No?B{??^_?@}??	Circ(23;9.10.11)
VlUilTTIgi`T@T?i_Ig@T_DT?Il?Ii_DUg@TT?IlS?i_	Circ(23;1.3.5.7)
VhdLIchdISchChASodIChGQeOdIOdLGQdQChIOdKhAS_	Circ(23;1.4.6.9)
VhCKIE`SLOi`I`dOhSLI`SiEhSIhSHSiCTI`AhSKIdO_	Circ(23;1.6.8.10)
VUWosXEGobPEpEWbEGopEbCXEGpEGobCYGpEpEGrCWb?	Circ(23;2.3.7.11)
VUWooYEorBEEEEBBOouEEWWWooooooWWYEEEooorBBB?	Circ(23;2.3.8.9)
VQIQPIQQPHQQqQXHEQSqQRHGeQSeQQRHGcqQceQQQXH?	Circ(23;2.5.8.11)
VQGSQGacUPKaKaePXcRKaKqIXcQXcPKqGRKaaXcQHeP?	Circ(23;2.6.9.10)
VCrb`o[B_MO[o[WMEB_o[B@oEBcEBeB@r_o[[EB`oWM?	Circ(23;3.4.5.11)
V?bFF`wN?{@w@w?{?N?@w_Fb?NF?NF_F`w@wN?N?{?{?	Circ(23;4.5.6.7)
V????A?oF?]?}?~?^oF}?^w?~o?~o?^w?F}??~o?B~??	Circ(23;8.9.10.11)
WlSggSD?gA_D?D?A_?g?D??S??g??g??S??D_??i??As??D	Circ(24;1.3)
WhdHGcH@GC_H?H?C_@G?H??c?@G?@G??e??HO?@H??Cq??H	Circ(24;1.4)
WhEIHCPAGG_P?P?G_AG?P?@C?AG?AK?@D??PG?AG_?Gp??P	Circ(24;1.5)
WhCKIC`CGO_`?`?O_CG?`?AC?CK?CI?AC_?`C?CGO?Oo_?`	Circ(24;1.6)
WhCGKD@GG_`@@@?__GG@@?CE?GI?GH?CCO@@A?GGG?_oO@@	Circ(24;1.7)
